;rev_id;prediction
41434;803826993;C
41435;803830996;Stub
41436;803834149;C
41437;803834962;Start
41438;803835166;C
41439;803835401;Stub
41440;803835406;Start
41441;803835755;Start
41442;803836305;Start
41443;803836472;Stub
41444;803836551;C
41445;803838269;Start
41446;803839807;Stub
41447;803840616;Start
41448;803840750;C
41449;803841397;Start
41450;803841881;GA
41451;803845101;C
41452;803845293;C
41453;803846718;Stub
41454;803846864;Start
41455;803846896;Start
41456;803847313;Stub
41457;803851630;Start
41458;803851823;Start
41459;803852457;B
41460;803852940;C
41461;803853308;Stub
41462;803853877;Stub
41463;803854781;C
41464;803858875;C
41465;803861531;Start
41466;803863146;GA
41467;803864382;Stub
41468;803865819;Stub
41469;803866631;Start
41470;803868218;Start
41471;803868393;C
41472;803870165;C
41473;803870832;Start
41474;803870918;C
41475;803872492;GA
41476;803872886;C
41477;803872975;Start
41478;803873640;Start
41479;803874322;C
41480;803874700;Start
41481;803874765;B
41482;803874981;Start
41483;803876308;Stub
41484;803876378;Stub
41485;803876677;Start
41486;803879940;Start
41487;803880227;Start
41488;803880819;GA
41489;803882348;Start
41490;803882718;Stub
41491;803883142;Start
41492;803883249;Stub
41493;803883259;Stub
41494;803885243;Start
41495;803886588;Start
41496;803887090;GA
41497;803887860;Start
41498;803890353;Start
41499;803891543;C
41500;803892036;Start
41501;803893858;Start
41502;803894090;C
41503;803895215;GA
41504;803896472;Stub
41505;803899998;C
41506;803900554;C
41507;803901409;Start
41508;803901720;Stub
41509;803903235;C
41510;803904768;Stub
41511;803906441;C
41512;803907595;C
41513;803907997;Start
41514;803908247;GA
41515;803908887;Start
41516;803910216;GA
41517;803910313;C
41518;803910324;Start
41519;803910344;C
41520;803912827;Stub
41521;803912924;Start
41522;803913690;C
41523;803914924;C
41524;803916458;Start
41525;803917686;C
41526;803917695;C
41527;803918443;Start
41528;803919095;Stub
41529;803919487;Start
41530;803920359;C
41531;803920436;C
41532;803920520;Start
41533;803920747;C
41534;803921690;Start
41535;803922357;Start
41536;803923326;Stub
41537;803923658;FA
41538;803924619;Stub
41539;803925616;C
41540;803926622;GA
41541;803926823;Stub
41542;803927017;C
41543;803927035;C
41544;803927053;C
41545;803927123;Start
41546;803927251;C
41547;803927279;Start
41548;803927452;C
41549;803928019;B
41550;803928072;Stub
41551;803928076;Start
41552;803928118;C
41553;803928347;C
41554;803928454;Start
41555;803928671;Start
41556;803928805;Start
41557;803928869;Start
41558;803929025;Start
41559;803929100;Start
41560;803929204;Start
41561;803929238;Start
41562;803929264;C
41563;803929320;C
41564;803929525;Start
41565;803929984;Start
41566;803930046;Start
41567;803930104;C
41568;803930177;FA
41569;803930779;C
41570;803930855;Start
41571;803931230;Stub
41572;803931432;FA
41573;803931854;Start
41574;803931974;Start
41575;803932329;C
41576;803932467;Stub
41577;803932580;Start
41578;803932725;Start
41579;803932898;C
41580;803932904;GA
41581;803933397;B
41582;803933472;Stub
41583;803934346;C
41584;803934729;Start
41585;803935405;C
41586;803936488;C
41587;803936809;Stub
41588;803936929;C
41589;803936986;Start
41590;803937693;Start
41591;803939357;C
41592;803939628;Stub
41593;803939660;Start
41594;803941004;C
41595;803941485;C
41596;803941497;Stub
41597;803942011;Start
41598;803942872;Start
41599;803946015;GA
41600;803946300;Start
