;rev_id;prediction
31716;794386188;Start
31717;794388236;Start
31718;794389289;Stub
31719;794389558;Start
31720;794389935;Start
31721;794390140;Stub
31722;794391283;Start
31723;794393283;Start
31726;794395519;Start
31727;794404252;Stub
31728;794404263;Stub
31729;794405204;Start
31730;794406190;Stub
31731;794406931;Start
31732;794407772;Start
31733;794409806;Stub
31734;794409906;-1
31735;794410533;Stub
31736;794414395;Start
31737;794415235;C
31738;794415512;C
31739;794415791;Stub
31740;794415858;Start
31741;794416814;Start
31742;794417793;Stub
31743;794417927;Stub
31744;794420017;C
31745;794426140;Stub
31746;794428535;Start
31747;794433332;C
31748;794433594;Start
31749;794434204;Stub
31750;794435200;Stub
31751;794435907;Stub
31752;794439061;C
31753;794440946;Stub
31754;794443765;Stub
31755;794443925;Start
31756;794445392;C
31757;794446877;Stub
31758;794447789;Start
31759;794450287;Stub
31760;794451131;GA
31761;794453175;Stub
31762;794456450;C
31763;794457446;Start
31764;794459590;Stub
31765;794459622;Start
31766;794459814;Start
31767;794460147;Stub
31768;794460158;C
31769;794462074;Start
31770;794463844;C
31771;794464460;C
31772;794464696;C
31773;794465103;Start
31774;794467298;Start
31775;794470010;Start
31776;794474426;Start
31777;794476316;C
31778;794476590;GA
31779;794478106;GA
31780;794479213;Start
31781;794481589;Stub
31782;794482018;C
31783;794482135;Stub
31784;794485722;Stub
31785;794486919;C
31786;794491534;Stub
31787;794491594;Start
31788;794492321;Stub
31789;794493069;Stub
31790;794493099;Stub
31791;794493152;Stub
31792;794493538;Stub
31793;794495200;Start
31794;794496223;Start
31795;794497221;Stub
31796;794499513;Stub
31797;794502447;Start
31798;794502679;C
31799;794504534;C
31800;794504728;Start
31801;794504848;Stub
31802;794505172;C
31803;794506327;C
31804;794506687;C
31805;794506770;C
31806;794507987;Start
31807;794509173;C
31808;794509873;Start
31809;794510535;Start
31810;794512961;Start
31811;794517711;Start
31812;794518328;Stub
31813;794518821;Start
31814;794520424;Start
31815;794520467;Start
31816;794521577;Start
31817;794522698;Stub
