;article_name;country;region;revision_id;article_quality;population
298;List of Deputy Prime Ministers of Cambodia;Cambodia;ASIA;730617957.0;Stub;15.497
299;Cambodian People's Party–FUNCINPEC coalition agreement;Cambodia;ASIA;732331264.0;Stub;15.497
300;Chuop Hell;Cambodia;ASIA;735512767.0;Stub;15.497
301;Kong Korm;Cambodia;ASIA;736093077.0;Stub;15.497
302;Chan Nak;Cambodia;ASIA;736538934.0;Stub;15.497
303;Huy Kanthoul;Cambodia;ASIA;736539294.0;Stub;15.497
304;Vorn Vet;Cambodia;ASIA;736715950.0;Stub;15.497
305;Yat Hwaidi;Cambodia;ASIA;737025619.0;Stub;15.497
306;Khim Tit;Cambodia;ASIA;737804996.0;Stub;15.497
307;Son Chhay;Cambodia;ASIA;738180794.0;Start;15.497
308;Kep Chuktema;Cambodia;ASIA;738478052.0;Start;15.497
309;Nuth Rumduol;Cambodia;ASIA;738512371.0;Stub;15.497
310;Khieu Thavika;Cambodia;ASIA;738804016.0;Stub;15.497
311;Norodom Phurissara;Cambodia;ASIA;738987957.0;Start;15.497
312;Daran Kravanh;Cambodia;ASIA;738989624.0;Stub;15.497
313;Sisowath Monireth;Cambodia;ASIA;738992094.0;Start;15.497
314;Sisowath Youtevong;Cambodia;ASIA;738992441.0;Stub;15.497
315;Ou Chanrith;Cambodia;ASIA;739217591.0;Stub;15.497
316;Yem Ponhearith;Cambodia;ASIA;741680078.0;Stub;15.497
317;Chrea Sochenda;Cambodia;ASIA;741923960.0;Stub;15.497
318;Vong Kan;Cambodia;ASIA;742006559.0;Stub;15.497
319;Yos Son;Cambodia;ASIA;742067282.0;Stub;15.497
320;Hun Many;Cambodia;ASIA;744291790.0;Stub;15.497
321;Chhean Vam;Cambodia;ASIA;747052284.0;Stub;15.497
322;Oum Chheang Sun;Cambodia;ASIA;747052769.0;Stub;15.497
323;Norodom Kantol;Cambodia;ASIA;747053219.0;Stub;15.497
324;Khieu Rada;Cambodia;ASIA;747555899.0;Start;15.497
325;Ieu Koeus;Cambodia;ASIA;747628491.0;Stub;15.497
326;Cheng Heng;Cambodia;ASIA;747784875.0;Start;15.497
327;Mok Mareth;Cambodia;ASIA;747945224.0;Start;15.497
328;Kieng Vang;Cambodia;ASIA;748137241.0;Stub;15.497
329;Sisowath Watchayavong;Cambodia;ASIA;748488170.0;Stub;15.497
330;Sokhom So;Cambodia;ASIA;749156496.0;Stub;15.497
331;Min Sean;Cambodia;ASIA;749304614.0;Stub;15.497
332;Y Chhean;Cambodia;ASIA;749338398.0;Stub;15.497
333;Poa Bun Sreu;Cambodia;ASIA;749357713.0;Stub;15.497
334;Toan Vanthara;Cambodia;ASIA;749387326.0;Stub;15.497
335;Sok Soty;Cambodia;ASIA;749388858.0;Stub;15.497
336;Pal Sam Oeun;Cambodia;ASIA;749396845.0;Stub;15.497
337;Ngor Sovann;Cambodia;ASIA;749470256.0;Stub;15.497
338;Kea Sahorn;Cambodia;ASIA;749510551.0;Stub;15.497
339;Suos Kanan;Cambodia;ASIA;749517390.0;Stub;15.497
340;Im Chhun Lim;Cambodia;ASIA;749537624.0;Stub;15.497
341;Tram Iv Teuk;Cambodia;ASIA;749537772.0;Stub;15.497
342;Hem Khorn;Cambodia;ASIA;749561164.0;Stub;15.497
